起始节点,目标节点,关系
第四孔隙水补给来源,人工补水（如水库放水）,补给来源
第四孔隙水补给来源,融雪水补给,补给来源
第四孔隙水补给来源,冰川融水补给,补给来源
第四孔隙水补给来源,土壤水下渗,补给来源
第四孔隙水补给来源,相邻含水层的水力联系补给,补给来源
第四孔隙水补给来源,潮汐影响下的海岸带地下水补给,补给来源
基岩裂隙水,基岩裂隙水分布区域,包含的描述有
基岩裂隙水,基岩裂隙水补给条件,包含的描述有
基岩裂隙水,基岩裂隙水富水条件,包含的描述有
基岩裂隙水分布区域,具体结构面,分布的区域是
基岩裂隙水分布区域,断层破碎带内,分布的区域是
基岩裂隙水分布区域,节理发育的岩石中,分布的区域是
基岩裂隙水分布区域,岩脉附近,分布的区域是
基岩裂隙水分布区域,岩溶发育的碳酸盐岩地区,分布的区域是
基岩裂隙水分布区域,片理发育的变质岩区,分布的区域是
基岩裂隙水分布区域,片麻岩和花岗岩体内,分布的区域是
基岩裂隙水分布区域,火山岩地区,分布的区域是
基岩裂隙水分布区域,花岗岩基底和顶部风化裂隙中,分布的区域是
基岩裂隙水分布区域,片麻岩和混合岩地区,分布的区域是
基岩裂隙水分布区域,断层活动带及其影响带,分布的区域是
基岩裂隙水分布区域,岩浆岩侵入体接触带,分布的区域是
基岩裂隙水分布区域,地质构造交叉部位,分布的区域是
基岩裂隙水分布区域,岩石风化裂隙带,分布的区域是
基岩裂隙水分布区域,岩石破碎的采矿区和采石场,分布的区域是
基岩裂隙水分布区域,岩石裂隙密集的山前地带,分布的区域是
基岩裂隙水分布区域,岩石裂隙发育的河谷和沟谷地区,分布的区域是
基岩裂隙水分布区域,岩石裂隙中的温泉出露带,分布的区域是
基岩裂隙水补给条件,丰富的降雨,补给来源
基岩裂隙水补给条件,地表水体渗漏,补给来源
基岩裂隙水补给条件,地下水侧向补给,补给来源
基岩裂隙水补给条件,相邻含水层的越流补给,补给来源
基岩裂隙水补给条件,岩溶系统补给,补给来源
基岩裂隙水补给条件,地质构造带（如断层、节理、裂隙）的透水性,补给来源
基岩裂隙水补给条件,岩石风化作用产生的裂隙,补给来源
基岩裂隙水补给条件,岩石破碎带的透水性,补给来源
基岩裂隙水补给条件,岩浆岩侵入体接触带的透水性,补给来源
基岩裂隙水补给条件,岩石的渗透性变化,补给来源
基岩裂隙水补给条件,泉眼溢出,补给来源
基岩裂隙水补给条件,河流渗漏,补给来源
基岩裂隙水补给条件,湖泊渗漏,补给来源
基岩裂隙水富水条件,差异较大,富水条件特征
基岩裂隙水富水条件,差异较小,富水条件特征
基岩裂隙水富水条件,受季节影响程度：大,富水条件特征
基岩裂隙水富水条件,受季节影响程度：小,富水条件特征
岩溶水,岩溶水分布区域,包含的描述有
岩溶水,岩溶水补给形式,包含的描述有
岩溶水,岩溶水的运移与排泄,包含的描述有
岩溶水分布区域,可溶岩的溶孔中,分布的区域是
岩溶水分布区域,可溶岩的溶蚀裂隙中,分布的区域是
岩溶水分布区域,岩溶管道中,分布的区域是
岩溶水分布区域,岩溶洞穴系统中,分布的区域是
岩溶水分布区域,岩溶泉眼出露带,分布的区域是
岩溶水分布区域,岩溶洼地和岩溶盆地,分布的区域是
岩溶水分布区域,岩溶天窗和落水洞,分布的区域是
岩溶水分布区域,岩溶地下河和暗河,分布的区域是
岩溶水分布区域,岩溶泉和上升泉,分布的区域是
岩溶水分布区域,岩溶湖和岩溶水库,分布的区域是
岩溶水分布区域,岩溶峰丛洼地,分布的区域是
岩溶水分布区域,岩溶峰林平原,分布的区域是
岩溶水分布区域,岩溶峡谷和岩溶嶂谷,分布的区域是
岩溶水分布区域,岩溶石柱林,分布的区域是
岩溶水分布区域,岩溶天生桥,分布的区域是
岩溶水分布区域,岩溶漏斗和岩溶斗淋,分布的区域是
岩溶水分布区域,岩溶裂隙带,分布的区域是
岩溶水分布区域,岩溶侵蚀盆地,分布的区域是
岩溶水分布区域,岩溶堆积平原,分布的区域是
岩溶水分布区域,岩溶丘陵和岩溶山地,分布的区域是
岩溶水补给形式,地表洼地汇集大气降水,补给来源
岩溶水补给形式,落水洞汇集大气降水,补给来源
岩溶水补给形式,溶洞汇集大气降水,补给来源
岩溶水补给形式,地表河流渗漏补给,补给来源
岩溶水补给形式,地表湖泊渗漏补给,补给来源
岩溶水补给形式,地表水库渗漏补给,补给来源
岩溶水补给形式,灌溉水入渗补给,补给来源
岩溶水补给形式,泉眼溢出补给,补给来源
岩溶水补给形式,相邻含水层越流补给,补给来源
岩溶水补给形式,融雪水补给,补给来源
岩溶水补给形式,冰川融水补给,补给来源
岩溶水补给形式,土壤水下渗补给,补给来源
岩溶水补给形式,相邻非岩溶含水层补给,补给来源
岩溶水补给形式,人工补水（如水库放水）,补给来源
岩溶水补给形式,地下水侧向流补给,补给来源
岩溶水补给形式,潮汐影响下的海水入侵补给,补给来源
岩溶水补给形式,降雨直接入渗补给,补给来源
岩溶水补给形式,人工灌溉区域水入渗补给,补给来源
岩溶水补给形式,岩溶裂隙直接接受降水补给,补给来源
岩溶水的运移与排泄,在层间或裂隙中运移，进入下覆层位,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶管道中运移，进入岩溶泉,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶洞穴系统中运移，进入地下河或暗河,运移与排泄方式描述
岩溶水的运移与排泄,在溶孔和溶蚀裂隙中运移，进入岩溶湖或水库,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶洼地中汇集，进入岩溶地下系统,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶峰丛洼地中汇集，进入区域地下水流,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶峰林平原中运移，进入相邻的河谷或洼地,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶峡谷和岩溶嶂谷中运移，进入下游的岩溶系统,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶裂隙带中运移，进入地下水排泄区,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶石柱林中运移，进入附近的岩溶管道或洞穴,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶漏斗和岩溶斗淋中汇集，进入深层岩溶含水层,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶天窗中汇集，进入岩溶地下水系统,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶侵蚀盆地中汇集，进入地下河或暗河,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶堆积平原中运移，进入地下水排泄带,运移与排泄方式描述
岩溶水的运移与排泄,在岩溶丘陵和岩溶山地中运移，进入地下水排泄区,运移与排泄方式描述
地下水化学特征,低侵蚀性或无侵蚀性,侵蚀程度
地下水化学特征,中等侵蚀性,侵蚀程度
地下水化学特征,高侵蚀性,侵蚀程度
低侵蚀性或无侵蚀性,HCO3——Ca2+.Mg2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Na+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——K+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Ca2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Mg2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Na+.Ca2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Na+.Mg2+型水,包含的水质类型有
低侵蚀性或无侵蚀性,HCO3——Ca2+.Na+型水,包含的水质类型有
中等侵蚀性,SO4——Ca2+型水,包含的水质类型有
中等侵蚀性,SO4——Na+型水,包含的水质类型有
中等侵蚀性,SO4——Mg2+型水,包含的水质类型有
中等侵蚀性,SO4——Na+.Ca2+型水,包含的水质类型有
中等侵蚀性,SO4——Ca2+.Mg2+型水,包含的水质类型有
中等侵蚀性,SO4——Na+.Ca2+.Mg2+型水,包含的水质类型有
高侵蚀性,Cl——Na+.K+型水,包含的水质类型有
高侵蚀性,Cl——Ca2+.Mg2+型水,包含的水质类型有
高侵蚀性,Cl——Na+型水,包含的水质类型有
高侵蚀性,Cl——Mg2+型水,包含的水质类型有
高侵蚀性,Cl——Ca2+型水,包含的水质类型有
高侵蚀性,Cl——Na+.Mg2+型水,包含的水质类型有
高侵蚀性,Cl——K+型水,包含的水质类型有
高侵蚀性,Cl——K+.Mg2+型水,包含的水质类型有
高侵蚀性,Cl——Ca2+.Na+型水,包含的水质类型有
高侵蚀性,Cl——Na+.Ca2+.Mg2+型水,包含的水质类型有
地下水的补给,大气降水补给,补给来源
地下水的补给,地表水体渗漏补给（如河流、湖泊）,补给来源
地下水的补给,灌溉水入渗补给,补给来源
地下水的补给,泉眼溢出补给,补给来源
地下水的补给,相邻含水层越流补给,补给来源
地下水的补给,融雪水补给,补给来源
地下水的补给,冰川融水补给,补给来源
地下水的补给,土壤水下渗补给,补给来源
地下水的补给,相邻非岩溶含水层补给,补给来源
地下水的补给,人工补水（如水库放水）,补给来源
地下水的补给,地下水侧向流补给,补给来源
地下水的补给,潮汐影响下的海水入侵补给,补给来源
地下水的补给,降雨直接入渗补给,补给来源
地下水的补给,人工灌溉区域水入渗补给,补给来源
地下水的补给,岩溶管道和洞穴系统补给,补给来源
地下水的补给,地下河和暗河补给,补给来源
地下水的补给,断层和裂隙带的水力联系补给,补给来源
地下水的排泄,泉眼涌出,排泄方式描述
地下水的排泄,地表水体渗漏（如河流、湖泊）,排泄方式描述
地下水的排泄,人工抽取（如井泵取水）,排泄方式描述
地下水的排泄,蒸发排泄,排泄方式描述
地下水的排泄,植物蒸腾,排泄方式描述
地下水的排泄,地下河水位下降导致排泄,排泄方式描述
地下水的排泄,地下河与地表河流交汇排泄,排泄方式描述
地下水的排泄,地下海水与地下水混合排泄,排泄方式描述
地下水的排泄,地下热水涌出（温泉）,排泄方式描述
地下水的排泄,地下水库排水排泄,排泄方式描述
地下水的排泄,地下含水层之间的水力联系排泄,排泄方式描述
地下水的排泄,地下含水层的地质构造排泄（如断层）,排泄方式描述
地下水的排泄,地下含水层的地貌排泄（如山地前缘）,排泄方式描述
地下水的排泄,地下含水层的岩溶地貌排泄（如岩溶泉）,排泄方式描述
地下水的排泄,地下含水层的人工排水设施排泄,排泄方式描述
地下水的排泄,地下含水层的自然排水通道排泄（如地下河）,排泄方式描述
地下水的排泄,地下含水层的渗透性变化排泄,排泄方式描述
地下水的排泄,地下含水层的地质年代变化排泄,排泄方式描述
